Avg. Speed,Avg. Size,Avg. Sense
0.5259,0.5528,0.5240
0.5264,0.5381,0.5260
0.5239,0.5522,0.5186
0.5152,0.5822,0.4886
0.5134,0.6102,0.4774
0.5141,0.6122,0.4858
0.5210,0.6194,0.4842
0.5227,0.6218,0.5200
0.5290,0.6300,0.5344
0.5320,0.6274,0.5314
0.5385,0.6210,0.5647
0.5378,0.6145,0.5914
0.5522,0.6241,0.5557
0.5509,0.6044,0.5658
0.5447,0.5920,0.5891
0.5330,0.5883,0.6051
0.5413,0.5915,0.6114
0.5659,0.5584,0.6310
0.6184,0.5458,0.6158
0.6113,0.5634,0.6125
0.6104,0.5352,0.5972
0.6012,0.5338,0.5979
0.6470,0.5583,0.6034
0.6530,0.5553,0.6133
0.6707,0.5473,0.6348
0.6514,0.5378,0.6344
0.6205,0.5257,0.6147
0.6521,0.5555,0.5971
0.6647,0.5424,0.6098
0.6942,0.5512,0.6120
0.6958,0.4873,0.6221
0.7309,0.5060,0.5985
0.7389,0.5287,0.5757
0.7538,0.5379,0.5562
0.7518,0.5254,0.5713
0.7601,0.5236,0.5544
0.7519,0.5060,0.5619
0.7497,0.4920,0.5727
0.7528,0.5035,0.5822
0.7592,0.5148,0.6090
0.7611,0.5250,0.6321
0.7624,0.5329,0.6228
0.7560,0.5453,0.6344
0.7553,0.5179,0.6320
0.7503,0.5388,0.6692
0.7513,0.5308,0.6602
0.7435,0.5163,0.6638
0.7607,0.5056,0.6664
0.7668,0.4946,0.6480
0.7647,0.4823,0.6297
0.7678,0.4836,0.6100
0.7694,0.4708,0.6015
0.7703,0.4617,0.6169
0.7658,0.4491,0.5984
0.7579,0.4477,0.6022
0.7287,0.4742,0.6204
0.7294,0.4813,0.6251
0.7302,0.5035,0.6384
0.7284,0.5258,0.6354
0.6872,0.5371,0.6265
0.7223,0.5027,0.6276
0.7317,0.4796,0.6403
0.7529,0.4353,0.6438
0.7611,0.4192,0.6390
0.7594,0.4121,0.6366
0.7531,0.4468,0.6458
0.7256,0.4872,0.6459
0.7198,0.5182,0.6411
0.6752,0.5531,0.6289
0.6518,0.5780,0.6173
0.6241,0.6033,0.6028
0.6369,0.6150,0.6125
0.6083,0.6424,0.5982
0.5997,0.6630,0.5970
0.5789,0.6454,0.5902
0.5722,0.6640,0.6029
0.5893,0.6512,0.5953
0.5830,0.6515,0.6199
0.5970,0.6524,0.6138
0.5659,0.6792,0.5815
0.5779,0.6796,0.5875
0.5743,0.6955,0.6052
0.5953,0.6742,0.6196
0.5817,0.6865,0.6257
0.5976,0.6933,0.6376
0.6072,0.6931,0.6382
0.6064,0.7009,0.6336
0.6086,0.7068,0.6648
0.5774,0.7398,0.6735
0.5865,0.7415,0.6682
0.6133,0.7595,0.6691
0.6552,0.7296,0.6512
0.6214,0.7405,0.6707
0.6010,0.7405,0.6775
0.6280,0.7425,0.6736
0.6253,0.7366,0.6653
0.6009,0.7424,0.6726
0.6355,0.7463,0.6698
0.6350,0.7551,0.6624
0.6711,0.7393,0.6424
0.6413,0.7231,0.6445
0.6267,0.7336,0.6583
0.6264,0.7276,0.6913
0.6658,0.7233,0.6776
0.6732,0.7138,0.6695
0.6522,0.7287,0.6973
0.6674,0.7430,0.7014
0.6768,0.7348,0.6823
0.6897,0.7250,0.6674
0.6930,0.7256,0.6634
0.6925,0.7156,0.6770
0.6865,0.6978,0.6844
0.6996,0.6940,0.6859
0.7003,0.7217,0.6827
0.6908,0.7376,0.7001
0.6821,0.7784,0.6849
0.6949,0.7886,0.6685
0.6843,0.7701,0.6716
0.6780,0.7631,0.6827
0.6674,0.7957,0.6743
0.6893,0.8145,0.6443
0.6873,0.8122,0.6381
0.6972,0.8211,0.6387
0.6938,0.8256,0.6373
0.6768,0.8402,0.6714
0.6855,0.8387,0.6464
0.7209,0.8083,0.5914
0.7269,0.8059,0.5863
0.7471,0.8303,0.5903
0.7729,0.8282,0.6114
0.7789,0.8590,0.6328
0.7789,0.8590,0.6328
0.7789,0.8590,0.6328
0.7482,0.8695,0.6117
0.7457,0.8715,0.5939
0.7238,0.8722,0.6120
0.7243,0.8584,0.6143
0.7272,0.8488,0.6426
0.7102,0.8678,0.6383
0.6974,0.8832,0.6492
0.7037,0.8809,0.6477
0.7212,0.8505,0.6459
0.7339,0.8469,0.6510
0.7333,0.8319,0.6466
0.7647,0.8330,0.6235
0.7280,0.8585,0.6231
0.7057,0.8545,0.6583
0.7291,0.8362,0.6520
0.7143,0.8453,0.6633
0.7106,0.8611,0.6794
0.6873,0.8637,0.6778
0.7265,0.8790,0.6638
0.6884,0.9207,0.6759
0.6765,0.9217,0.6737
0.6368,0.9267,0.6776
0.6200,0.9158,0.6698
0.5875,0.9163,0.6459
0.5886,0.9176,0.6752
0.6041,0.9142,0.6632
0.5482,0.9144,0.6619
0.5024,0.9061,0.6854
0.4958,0.9075,0.6553
0.5187,0.8988,0.6724
0.5421,0.8989,0.7107
0.5222,0.8978,0.7118
0.5155,0.8895,0.7179
0.4993,0.9085,0.6891
0.4751,0.9057,0.6879
0.4952,0.9201,0.6813
0.5090,0.9472,0.6664
0.4959,0.9504,0.6817
0.4854,0.9494,0.6625
0.4922,0.9351,0.6924
0.4964,0.9399,0.6809
0.4584,0.9170,0.6949
0.4873,0.9394,0.6891
0.4622,0.9257,0.6979
0.4425,0.9281,0.6955
0.4510,0.9558,0.6731
0.4541,0.9713,0.6685
0.4582,0.9713,0.6674
0.4548,0.9670,0.6688
0.4547,0.9817,0.6694
0.4621,0.9795,0.6537
0.4461,0.9796,0.6596
0.4276,0.9746,0.6582
0.4387,0.9635,0.6457
0.4260,0.9598,0.6458
0.4201,0.9547,0.6418
0.4197,0.9502,0.6385
0.4226,0.9532,0.6314
0.4187,0.9390,0.6341
0.4164,0.9311,0.6401
0.4192,0.9294,0.6388
0.4223,0.9350,0.6207
0.4087,0.9248,0.6307
0.4136,0.9137,0.6100
0.4063,0.9136,0.6268
0.3995,0.9288,0.6522
0.3837,0.9197,0.6490
0.3804,0.9324,0.6632
0.4044,0.9397,0.6519
0.3472,0.9338,0.6805
0.3578,0.9378,0.6704
0.3592,0.9369,0.6600
0.3627,0.9372,0.6523
0.3644,0.9486,0.6579
0.3441,0.9496,0.6559
0.3604,0.9375,0.6381
0.3853,0.9375,0.6036
0.3795,0.9432,0.5922
0.3840,0.9386,0.5848
0.3919,0.9265,0.5645
0.3955,0.9399,0.5348
0.3914,0.9423,0.5244
0.3973,0.9503,0.5230
0.4149,0.9657,0.5058
0.3878,0.9680,0.5003
0.3922,0.9650,0.5110
0.3961,0.9598,0.5182
0.3928,0.9739,0.5028
0.3848,0.9622,0.5153
0.3989,0.9689,0.5237
0.4019,0.9694,0.5180
0.3827,0.9591,0.5194
0.3732,0.9466,0.5408
0.3599,0.9376,0.5565
0.3640,0.9431,0.5717
0.3708,0.9398,0.5511
0.3590,0.9300,0.5471
0.3624,0.9400,0.5523
0.3812,0.9135,0.5647
0.3732,0.9288,0.5656
0.3652,0.9236,0.5810
0.3734,0.9241,0.5886
0.3821,0.9457,0.6084
0.3912,0.9364,0.6290
0.3645,0.8880,0.5625
0.3595,0.8717,0.5548
0.3590,0.8674,0.5451
0.3729,0.8548,0.5501
0.3737,0.8441,0.5429
0.3674,0.8121,0.5496
0.3559,0.7939,0.5232
0.3531,0.7691,0.5341
0.3676,0.7572,0.5461
0.3727,0.7674,0.5549
0.3978,0.8592,0.5331
0.3993,0.8359,0.5408
0.3902,0.8222,0.5418
0.3894,0.8426,0.5344
0.3873,0.8234,0.5344
0.4042,0.8336,0.5503
0.4186,0.8094,0.5548
0.3902,0.8179,0.5600
0.3921,0.8198,0.5578
0.4023,0.8320,0.5596
0.4122,0.8357,0.5741
0.4518,0.8054,0.5881
0.4504,0.8320,0.5844
0.4491,0.8395,0.5858
0.4686,0.8603,0.5768
0.4874,0.8537,0.5781
0.4867,0.8622,0.5818
0.4630,0.8960,0.5757
0.4655,0.9007,0.5803
0.4641,0.9183,0.5980
0.4831,0.9112,0.6059
0.5169,0.8957,0.5933
0.5106,0.9093,0.5802
0.5123,0.8953,0.5634
0.4946,0.9028,0.5456
0.5037,0.8856,0.5602
0.5087,0.8933,0.5660
0.5149,0.8752,0.5454
0.5101,0.8969,0.5460
0.5166,0.8974,0.5530
0.5071,0.9236,0.5569
0.4860,0.9207,0.5532
0.4878,0.9082,0.5500
0.4672,0.9147,0.5427
0.4668,0.9055,0.5526
0.4842,0.8965,0.5951
0.4781,0.8743,0.6010
0.4990,0.8650,0.6026
0.4901,0.8759,0.6061
0.5013,0.8551,0.5688
0.5146,0.8663,0.5485
0.4885,0.8492,0.5759
0.4799,0.8474,0.5715
0.4709,0.8570,0.5631
0.4759,0.8396,0.5558
0.4906,0.8310,0.5661
0.4779,0.8226,0.5654
0.4787,0.8168,0.5635
0.4744,0.8220,0.5427
0.5002,0.7992,0.5462
0.4840,0.8166,0.5497
0.4781,0.8304,0.5593
0.4800,0.8170,0.5566
0.5162,0.8018,0.5679
0.5355,0.8076,0.5638
0.5175,0.8216,0.5572
0.5292,0.8169,0.5499
0.5296,0.7995,0.5536
0.5230,0.7784,0.5568
0.5353,0.7290,0.5436
0.5446,0.7148,0.5627
0.5199,0.7469,0.5802
0.5207,0.7776,0.6119
0.5124,0.8012,0.6321
0.5170,0.7735,0.6208
0.5033,0.8017,0.6459
0.4801,0.8217,0.6772
0.4689,0.8343,0.6888
0.4685,0.8475,0.6861
0.4400,0.8793,0.7102
0.4561,0.8551,0.6830
0.4460,0.8792,0.6805
0.4320,0.8625,0.6762
0.4228,0.8446,0.6573
0.4217,0.8186,0.6399
0.4223,0.8249,0.6507
0.4323,0.8095,0.6710
0.4247,0.8237,0.6865
0.3831,0.8610,0.7035
0.4081,0.8631,0.6975
0.4057,0.8781,0.7065
0.3961,0.8749,0.7235
0.4146,0.8697,0.7202
0.4182,0.8596,0.7374
0.4209,0.8600,0.7258
0.4209,0.8600,0.7258
0.4112,0.8699,0.7349
0.4313,0.8628,0.7303
0.4510,0.8674,0.7575
0.4586,0.8663,0.7443
0.4912,0.8462,0.7421
0.5055,0.8402,0.7239
0.5138,0.8392,0.7268
0.5052,0.8537,0.7079
0.5060,0.8650,0.7063
0.4868,0.9039,0.6706
0.5051,0.9052,0.6577
0.4907,0.9195,0.6310
0.4733,0.9183,0.6493
0.4789,0.9295,0.6451
0.4738,0.9334,0.6194
0.4728,0.9369,0.6197
0.4698,0.9332,0.6063
0.4969,0.9003,0.6071
0.5013,0.8880,0.6496
0.4805,0.8880,0.6108
0.4584,0.9061,0.5757
0.4650,0.9142,0.5763
0.4818,0.9081,0.5756
0.4772,0.9239,0.5551
0.4588,0.9195,0.5531
0.4715,0.9093,0.5554
0.4770,0.9142,0.5875
0.4702,0.8997,0.5881
0.4663,0.9065,0.6210
0.5040,0.8759,0.6288
0.4898,0.8966,0.6479
0.5094,0.8871,0.6630
0.5455,0.8758,0.6385
0.5667,0.8591,0.6365
0.5484,0.8750,0.5965
0.5294,0.8820,0.5669
0.5108,0.8686,0.5469
0.5196,0.8539,0.5647
0.5573,0.8257,0.5992
0.5498,0.8379,0.5839
0.5631,0.8572,0.5702
0.5543,0.8602,0.5555
0.5592,0.8397,0.5736
0.6377,0.8372,0.6142
0.6592,0.8433,0.5911
0.6828,0.8371,0.5972
0.6543,0.8366,0.5897
0.6282,0.8548,0.5783
0.6175,0.8521,0.5818
0.5834,0.8508,0.5808
0.5502,0.8493,0.5892
0.5269,0.8733,0.5478
0.5296,0.8534,0.5572
0.5286,0.8742,0.5519
0.5119,0.8979,0.5276
0.5292,0.8614,0.5708
0.4914,0.8703,0.5832
0.4981,0.8789,0.5961
0.4870,0.8433,0.6143
0.5339,0.7912,0.6125
0.5240,0.8097,0.6307
0.5519,0.7918,0.6313
0.5586,0.7738,0.6360
0.5474,0.7872,0.6341
0.5804,0.7591,0.6351
0.6030,0.7772,0.6205
0.6446,0.7505,0.6380
0.6427,0.7443,0.6423
0.6370,0.7540,0.6400
0.6593,0.7138,0.6718
0.6509,0.7042,0.6774
0.6438,0.7159,0.6967
0.6521,0.7105,0.6740
0.6265,0.7268,0.6709
0.6120,0.7158,0.6729
0.5925,0.7474,0.6318
0.5747,0.8102,0.5920
0.5666,0.7678,0.6057
0.5707,0.7407,0.6197
0.5637,0.7223,0.6154
0.5718,0.7678,0.5523
0.5735,0.7765,0.5385
0.5838,0.7631,0.5316
0.5977,0.7419,0.5592
0.5851,0.7867,0.5479
0.6107,0.7526,0.5578
0.5808,0.7902,0.5745
0.5948,0.8101,0.5522
0.5673,0.8381,0.5418
0.5551,0.8701,0.5354
0.5888,0.8131,0.5392
0.5747,0.8175,0.5124
0.6148,0.7445,0.5082
0.6375,0.7055,0.5275
0.6504,0.6382,0.5536
0.6609,0.6394,0.5676
0.6548,0.6271,0.5455
0.6163,0.6725,0.5495
0.5910,0.7053,0.5398
0.5718,0.6937,0.5183
0.5661,0.6969,0.5301
0.6000,0.6935,0.5085
0.5820,0.6766,0.5143
0.5871,0.6872,0.5209
0.5599,0.7243,0.5280
0.5218,0.7530,0.5249
0.4762,0.7435,0.5208
0.4986,0.7136,0.5319
0.5253,0.6724,0.5490
0.5288,0.6837,0.5551
0.5126,0.6776,0.5605
0.5254,0.6376,0.5871
0.5329,0.6204,0.5873
0.5180,0.6230,0.5647
0.5182,0.6233,0.5762
0.5131,0.6024,0.5630
0.5023,0.6153,0.5560
0.5580,0.6310,0.5377
0.5445,0.6371,0.5440
0.5183,0.6298,0.5709
0.5357,0.6726,0.5526
0.5160,0.6845,0.5674
0.5141,0.6649,0.5709
0.5259,0.6531,0.5903
0.5910,0.6641,0.5883
0.5853,0.6599,0.5881
0.6173,0.6506,0.5943
0.6137,0.6739,0.6027
0.6280,0.6896,0.5906
0.6357,0.7117,0.6019
0.6410,0.7068,0.6050
0.6398,0.7315,0.6219
0.6335,0.7392,0.6154
0.6398,0.7044,0.5997
0.6299,0.7101,0.6001
0.6350,0.6765,0.5892
0.6555,0.6901,0.5616
0.6462,0.6955,0.5654
0.6367,0.6837,0.5497
0.6256,0.7209,0.5648
0.6289,0.7082,0.6045
0.6310,0.6966,0.5981
0.6237,0.7143,0.5930
0.6136,0.7219,0.5803
0.6227,0.7231,0.5986
0.6290,0.7065,0.5878
0.6258,0.7124,0.5886
0.6344,0.7050,0.5763
0.6405,0.7085,0.5641
0.6404,0.6833,0.5607
0.6345,0.6958,0.5978
0.6312,0.6505,0.5905
0.6419,0.6811,0.6115
0.6474,0.6748,0.6101
0.6351,0.6448,0.6286
0.5944,0.6043,0.6314
0.5821,0.5815,0.6528
0.5840,0.6140,0.6718
0.6015,0.6544,0.6725
0.5907,0.6475,0.6720
0.6057,0.6508,0.6651
0.6139,0.6531,0.6724
0.6436,0.6844,0.6801
0.6718,0.6808,0.6799
0.6903,0.6806,0.6852
0.6542,0.6798,0.6598
0.6354,0.6630,0.6511
0.6199,0.6931,0.6061
0.6175,0.6638,0.6709
0.6224,0.6824,0.6622
0.6796,0.6862,0.6337
0.6913,0.6969,0.6082
0.6981,0.7123,0.6102
0.6986,0.7185,0.6159
0.7069,0.7209,0.6384
0.7031,0.7077,0.6150
0.6952,0.6821,0.6408
0.7003,0.6712,0.6798
0.7002,0.6605,0.6823
0.6958,0.6543,0.6837
0.6943,0.6952,0.7135
0.6912,0.6797,0.7248
0.6960,0.6933,0.7171
0.6997,0.6786,0.6788
0.6986,0.6835,0.6438
0.6997,0.7137,0.6723
0.7231,0.6960,0.6717
0.7069,0.6726,0.6657
0.7018,0.6618,0.6435
0.6541,0.6299,0.6453
0.6444,0.6153,0.6578
0.6457,0.6003,0.6479
0.6507,0.6194,0.6542
0.6113,0.5679,0.6178
0.6150,0.6005,0.6115
0.6062,0.5508,0.5862
0.6374,0.5878,0.5988
0.6362,0.5972,0.5936
0.6428,0.6023,0.6208
0.6270,0.6031,0.6232
0.6424,0.5948,0.6278
0.6660,0.5886,0.6385
0.6987,0.5832,0.6698
0.7143,0.5915,0.6520
0.7319,0.6061,0.6680
0.7380,0.6090,0.6779
0.7595,0.6282,0.6955
0.7442,0.6200,0.6982
0.7188,0.6109,0.6603
0.7070,0.5866,0.6395
0.7542,0.6057,0.7060
0.7561,0.6067,0.7161
0.7554,0.5912,0.6742
0.7537,0.6331,0.6725
0.7292,0.6198,0.6387
0.7432,0.6005,0.6484
0.7540,0.6779,0.6494
0.7729,0.6746,0.7024
0.7663,0.6585,0.6907
0.7324,0.7011,0.6845
0.7193,0.6895,0.6847
0.7309,0.6990,0.6930
0.7165,0.7135,0.7280
0.6912,0.7148,0.7627
0.6912,0.7148,0.7627
0.7065,0.6583,0.7590
0.7381,0.5687,0.7295
0.7532,0.5352,0.7430
0.7141,0.5916,0.7322
0.7243,0.5378,0.7288
0.6932,0.6712,0.7204
0.6970,0.6659,0.7045
0.6922,0.6954,0.7029
0.6764,0.6664,0.7067
0.6827,0.6620,0.6973
0.6681,0.6837,0.6706
0.6898,0.6695,0.6825
0.6821,0.6825,0.6562
0.6934,0.6518,0.6574
0.6976,0.6345,0.6634
0.7136,0.6184,0.6602
0.7092,0.6216,0.6594
0.7174,0.5793,0.6408
0.7097,0.5588,0.6253
0.6921,0.5184,0.6130
0.6960,0.4693,0.6148
0.6916,0.4797,0.6224
0.6880,0.4873,0.6440
0.6831,0.4773,0.6499
0.6843,0.4644,0.6368
0.6844,0.4656,0.6313
0.6825,0.4864,0.6222
0.6898,0.4836,0.6201
0.6715,0.4695,0.6217
0.6904,0.4689,0.6136
0.7156,0.4760,0.5932
0.7607,0.4777,0.5784
0.7568,0.4680,0.5699
0.7388,0.4614,0.5742
0.7480,0.4656,0.5722
0.7561,0.4942,0.5794
0.7649,0.4953,0.5919
0.7620,0.5088,0.5949
0.7518,0.4799,0.5982
0.7559,0.4601,0.6012
0.7852,0.4705,0.5834
0.7714,0.5229,0.5869
0.7580,0.5291,0.5898
0.7427,0.5288,0.6083
